Line_no:1:	https://rfam.org/family/RF00005#tabview=tab6
1O0C	B	tRNA
4AS1	B	tRNA
4V5A	CW	tRNA
4V6F	BC	tRNA
4W29	AW	tRNA
5EL4	1L	tRNA
5HCR	1x	tRNA
5KPV	32	tRNA
5LMU	Z	tRNA
5OMW	B	tRNA
6HTQ	u	tRNA
6QZP	S6	tRNA
6ZTM	AW	tRNA
7AZO	TRNA	tRNA
7K50	7	tRNA
2V0G	F	tRNA
4V5E	CW	tRNA
4V5F	CW	tRNA
4V6R	AD	tRNA
4V8Q	BW	tRNA
4ZER	2x	tRNA
6BZ6	QV	tRNA
6D90	3	tRNA
6IP8	zy	tRNA
6Y69	w	tRNA
7A5J	x	tRNA
7AZS	ESIA	tRNA
7N2C	Dt	tRNA
8CVK	2w	tRNA
3ZJU	B	tRNA
4CQN	E	tRNA
4V5J	AV	tRNA
4V6R	AB	tRNA
4V7L	AX	tRNA
4WQY	BX	tRNA
6D9J	3	tRNA
6YSU	w	tRNA
7LYF	A	tRNA
7P6Z	7	tRNA
7Z20	v	tRNA
2DER	C	tRNA
2NR0	G	tRNA
4MGM	A	tRNA
4V5S	AV	tRNA
4V8B	CB	tRNA
4V8D	CC	tRNA
4ZSN	XV	tRNA
5EL4	3K	tRNA
5IBB	3K	tRNA
5J4D	IB	tRNA
5KPS	31	tRNA
6UCQ	2y	tRNA
6WAZ	D	tRNA
6XIJ	B	tRNA
7QGH	M	tRNA
7S1K	A	tRNA
7UNU	v	tRNA
7ZAI	4	tRNA
4V5L	AY	tRNA
4V8N	CW	tRNA
4W2F	AX	tRNA
4WJ3	T	tRNA
4WOI	AX	tRNA
4YZV	XV	tRNA
5E81	2K	tRNA
5IBB	2L	tRNA
5J4C	1x	tRNA
5LZC	v	tRNA
6OPE	XV	tRNA
6ZTP	AX	tRNA
7B7D	Sn	tRNA
7K52	6	tRNA
7TOQ	PTRN	tRNA
1VY7	CX	tRNA
3J0O	V	tRNA
3JAG	2	tRNA
3WC1	P	tRNA
4V5A	AW	tRNA
4V5Q	CV	tRNA
4V5S	CW	tRNA
5LZT	2	tRNA
6WDG	7	tRNA
7RYF	v	tRNA
7VNV	B	tRNA
7ZKI	4	tRNA
2ZUE	B	tRNA
4V5C	AW	tRNA
4V6G	AC	tRNA
4V8B	CD	tRNA
5E7K	2K	tRNA
5LMS	Z	tRNA
5MRC	bb	tRNA
6WDF	7	tRNA
6WDK	7	tRNA
6XIQ	AX	tRNA
7PAR	8	tRNA
7UNR	v	tRNA
8CTH	C	tRNA
2ZUF	B	tRNA
3B0V	B	tRNA
4V42	AC	tRNA
4V5D	CW	tRNA
4V5Q	CW	tRNA
4WSM	3L	tRNA
4YYE	D	tRNA
5B63	B	tRNA
5EL6	1K	tRNA
5HCP	2x	tRNA
7SYU	i	tRNA
4V4J	2	tRNA
4V5J	CV	tRNA
4V9I	AW	tRNA
4WZD	3L	tRNA
5EL7	2K	tRNA
5HD1	2x	tRNA
5KPX	30	tRNA
5NDJ	W1	tRNA
6GZ4	Bv	tRNA
6GZ4	Bw	tRNA
6OM7	u	tRNA
6TNA	A	tRNA
7AZS	PSIB	tRNA
7O7Y	AT	tRNA
2NR0	H	tRNA
4TUE	XV	tRNA
4V51	AW	tRNA
4V5Q	AW	tRNA
4V8C	DB	tRNA
4W2G	AX	tRNA
4WR6	3L	tRNA
4WU1	3L	tRNA
4Y4P	1w	tRNA
5EL5	2L	tRNA
5WIT	2y	tRNA
6BOK	GB	tRNA
6WD0	5	tRNA
7NSO	8	tRNA
7SSL	5	tRNA
1FCW	C	tRNA
3JAH	3	tRNA
3JCE	9	tRNA
5KPW	32	tRNA
6GSL	1L	tRNA
6OGG	5	tRNA
6R7Q	2	tRNA
6WDL	6	tRNA
7N2C	Pt	tRNA
7OI8	z	tRNA
7PIT	8	tRNA
7ST7	5	tRNA
8CVJ	2y	tRNA
1VY4	CX	tRNA
4V7M	CY	tRNA
4V8U	AW	tRNA
4WRA	3K	tRNA
4WZO	3L	tRNA
5UD5	D	tRNA
5WF0	y	tRNA
5WWS	D	tRNA
6C5L	CV	tRNA
6OST	5	tRNA
6WD4	7	tRNA
6WD8	6	tRNA
7N1P	Dt	tRNA
7PJS	w	tRNA
1JGO	B	tRNA
4V70	A1	tRNA
4V71	A1	tRNA
4W2I	AY	tRNA
4WT8	C3	tRNA
4ZER	1x	tRNA
5IBB	2K	tRNA
5WIS	2x	tRNA
5WT1	C	tRNA
6GSK	3K	tRNA
6JXM	B	tRNA
6Y4B	F	tRNA
7NSQ	8	tRNA
7QGN	M	tRNA
7UG7	Dt	tRNA
1JGO	C	tRNA
1JGP	B	tRNA
2BTE	B	tRNA
3J0Q	W	tRNA
3J16	L	tRNA
4TRA	A	tRNA
4V5K	AV	tRNA
5W4K	1y	tRNA
6ND5	1y	tRNA
6OF1	2w	tRNA
6OGF	5	tRNA
6UO1	2x	tRNA
6WD7	7	tRNA
7AQD	T	tRNA
7F36	F	tRNA
7K00	Y	tRNA
7PJX	w	tRNA
7RQ9	1y	tRNA
7RR5	A	tRNA
8D9L	C	tRNA
2AZX	D	tRNA
3J77	PT	tRNA
3WFS	A	tRNA
4KR2	C	tRNA
4TNA	A	tRNA
4V78	A3	tRNA
4V9C	CV	tRNA
4Y4P	2x	tRNA
5O2R	x	tRNA
5UYQ	W	tRNA
6B4V	MC	tRNA
6C4H	x	tRNA
6OJ2	QV	tRNA
6T59	23	tRNA
6ZTL	AW	tRNA
7PJT	w	tRNA
7PJU	w	tRNA
7ST2	6	tRNA
4V4I	z	tRNA
4V5D	AW	tRNA
4V6G	CB	tRNA
4V8N	AY	tRNA
4WQ1	3L	tRNA
5IB8	2K	tRNA
6O9K	y	tRNA
6WD7	5	tRNA
6ZMI	CC	tRNA
7CHD	I	tRNA
7JSZ	5	tRNA
7NSP	8	tRNA
8D9K	C	tRNA
3JCN	v	tRNA
4V5F	AV	tRNA
4V7P	AW	tRNA
5HR6	C	tRNA
5LZS	3	tRNA
5U4I	y	tRNA
6WDL	7	tRNA
7AZO	ESIB	tRNA
7KGB	y	tRNA
7P7U	D	tRNA
7PIQ	6	tRNA
7PJZ	w	tRNA
7TOR	ETRN	tRNA
1EUQ	B	tRNA
1SER	T	tRNA
3J46	p	tRNA
3J5S	E	tRNA
3JBU	v	tRNA
4V5C	CV	tRNA
4V8F	CD	tRNA
4YVJ	C	tRNA
5IMQ	4	tRNA
5W4K	2x	tRNA
6GSK	1K	tRNA
6WD8	7	tRNA
7LJ3	A	tRNA
7PAL	6	tRNA
7PAQ	7	tRNA
7U2J	2y	tRNA
1VY4	AY	tRNA
1VY5	AW	tRNA
2V0G	B	tRNA
4P6F	XV	tRNA
4TZW	B	tRNA
4W2I	CY	tRNA
5IMQ	5	tRNA
5T2C	An	tRNA
6BOH	D	tRNA
6XHV	2w	tRNA
7K50	6	tRNA
7NWG	33	tRNA
7NWW	z	tRNA
7VNW	A	tRNA
1EVV	A	tRNA
4TZP	E	tRNA
4V5P	AY	tRNA
4V6U	A1	tRNA
4V7L	AY	tRNA
5ZEY	B	tRNA
6GAW	BB	tRNA
6WDK	6	tRNA
6X6T	A	tRNA
6XU7	B	tRNA
7JT2	5	tRNA
7PHC	8	tRNA
7PWG	w	tRNA
7QH4	1	tRNA
2MS1	B	tRNA
3Q1R	C	tRNA
4V75	A1	tRNA
4V87	BB	tRNA
4W4G	XV	tRNA
5EL4	1K	tRNA
6C4I	x	tRNA
6ENU	x	tRNA
6N9F	2x	tRNA
6O97	1x	tRNA
6OXI	XV	tRNA
6TBV	PTR1	tRNA
6VYY	B	tRNA
6XHW	1w	tRNA
6XIJ	A	tRNA
6XIR	AX	tRNA
6YDP	BB	tRNA
6ZM7	CC	tRNA
7D6Z	3	tRNA
7ST7	6	tRNA
7TQL	3	tRNA
7U2H	1w	tRNA
4V3P	S2	tRNA
4V6M	AV	tRNA
4V70	A3	tRNA
4V7H	A7	tRNA
4V7P	DW	tRNA
4WRO	3K	tRNA
4YCO	F	tRNA
5DOY	1y	tRNA
6B19	D	tRNA
6N1D	BPTN	tRNA
6UO1	2y	tRNA
7K55	5	tRNA
7OSM	PSIT	tRNA
7U2I	1w	tRNA
1VVJ	XV	tRNA
3EQ4	Y	tRNA
3J5Y	D	tRNA
4L47	QV	tRNA
4V5L	AV	tRNA
4V69	AV	tRNA
4V7B	AW	tRNA
5LZW	3	tRNA
6OF6	XW	tRNA
6SGC	23	tRNA
6XZ7	f	tRNA
8AW3	1	tRNA
1VY4	AX	tRNA
2CV1	D	tRNA
2ZM5	D	tRNA
3DEG	B	tRNA
3IZY	N	tRNA
4V67	AZ	tRNA
4WQ1	1K	tRNA
4Y4P	2y	tRNA
5J4B	2x	tRNA
6OXA	XW	tRNA
6T83	8	tRNA
7LH5	AV	tRNA
1OB2	B	tRNA
1VTQ	A	tRNA
2DLC	Y	tRNA
3J0L	W	tRNA
4V51	AY	tRNA
4V5A	CV	tRNA
4V5L	AW	tRNA
4V6A	CW	tRNA
4WSD	2K	tRNA
6O97	2y	tRNA
6SNT	6	tRNA
6UGG	A	tRNA
6WD2	5	tRNA
6X7K	B	tRNA
6XHY	1x	tRNA
6ZMW	w	tRNA
7NSH	BB	tRNA
7NWT	5	tRNA
7OSA	PSIT	tRNA
7QG8	A	tRNA
7SS9	6	tRNA
7UO0	C	tRNA
1TN2	A	tRNA
2FMT	D	tRNA
4V67	CY	tRNA
4W2H	AX	tRNA
4WT1	3K	tRNA
4Z3S	2y	tRNA
5DOY	2x	tRNA
5GAK	B	tRNA
5J4C	2x	tRNA
5WT1	F	tRNA
6AHU	T	tRNA
6RFL	U	tRNA
6WD5	7	tRNA
7OPE	2	tRNA
7PIS	6	tRNA
1IVS	C	tRNA
1MJ1	D	tRNA
4V6G	CC	tRNA
4V9I	CW	tRNA
4WR6	3K	tRNA
4WT1	1L	tRNA
5DOY	2y	tRNA
5WWR	C	tRNA
6C4I	y	tRNA
6N9E	1x	tRNA
6WDJ	7	tRNA
6ZTJ	AW	tRNA
8CVL	1x	tRNA
1G59	B	tRNA
3FOZ	D	tRNA
486D	E	tRNA
4V51	AV	tRNA
4V73	A1	tRNA
4WZO	1K	tRNA
5E7K	2L	tRNA
5K0Y	N	tRNA
5YYN	D	tRNA
7ASE	1	tRNA
7NRC	Sm	tRNA
7OII	z	tRNA
3J9W	AX	tRNA
4AQ7	B	tRNA
4V5R	AV	tRNA
4W4G	QW	tRNA
4WOI	DW	tRNA
5WFS	y	tRNA
6ND5	1w	tRNA
7RQ9	2y	tRNA
7SSN	6	tRNA
1VFG	C	tRNA
2DU5	D	tRNA
4V4R	AW	tRNA
4V6G	AD	tRNA
5F8K	2x	tRNA
5NWY	M	tRNA
6GZ5	Bw	tRNA
6QNR	1K	tRNA
6QNR	5K	tRNA
7K51	5	tRNA
7M4X	v	tRNA
